BEN,CH4,CO,EBE,NMHC,NO,NO2,NOx,O3,PM10,PM25,SO2,TCH,TOL,Month,Year,AQI_category
0.0,1.0,0.0,0.0,0.0,23.22222222222222,42.77777777777778,78.44444444444444,34.666666666666664,6.222222222222222,8.0,14.0,1.0,2.0,3,2,1
0.0,1.0,0.0,0.0,0.0,59.333333333333336,73.0,163.66666666666666,11.166666666666666,13.0,8.0,17.0,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,28.22222222222222,59.888888888888886,103.22222222222223,20.333333333333332,7.777777777777778,8.0,14.444444444444445,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,27.5,52.642857142857146,95.0,37.42857142857143,10.5,8.0,14.928571428571429,1.0,2.0,3,2,1
0.0,1.0,0.0,0.0,0.0,22.833333333333332,48.666666666666664,83.5,41.5,11.333333333333334,8.0,13.833333333333334,1.0,2.0,3,2,1
0.0,1.0,0.0,0.0,0.0,17.11111111111111,52.0,78.22222222222223,25.444444444444443,7.222222222222222,8.0,14.555555555555555,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,27.9,47.7,90.2,27.6,8.6,8.0,11.4,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,53.93333333333333,54.46666666666667,136.93333333333334,32.86666666666667,10.266666666666667,8.0,12.0,1.0,2.0,3,2,1
0.0,1.0,0.0,0.0,0.0,53.142857142857146,71.0,152.42857142857142,30.0,15.0,8.0,18.571428571428573,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,34.64705882352941,58.11764705882353,111.29411764705883,30.176470588235293,14.352941176470589,8.0,10.411764705882353,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,31.5,55.833333333333336,104.0,18.333333333333332,8.0,8.0,15.583333333333334,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,33.04545454545455,53.5,104.04545454545455,39.54545454545455,12.0,8.0,13.863636363636363,1.0,2.0,3,2,1
0.0,1.0,0.0,0.0,0.0,43.578947368421055,55.473684210526315,122.10526315789474,28.894736842105264,10.947368421052632,8.0,8.263157894736842,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,46.0,59.61538461538461,130.53846153846155,27.923076923076923,9.76923076923077,8.0,8.923076923076923,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,36.0,59.111111111111114,114.55555555555556,24.444444444444443,9.777777777777779,8.0,10.0,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,72.2,73.4,184.2,4.8,19.2,8.0,11.0,1.0,2.0,3,2,0
0.0,1.0,0.0,0.0,0.0,61.15384615384615,60.84615384615385,155.0,22.76923076923077,17.384615384615383,8.0,12.0,1.0,2.0,7,2,0
0.0,1.0,0.0,0.0,0.0,51.72727272727273,53.68181818181818,133.1818181818182,21.09090909090909,10.318181818181818,8.0,9.818181818181818,1.0,2.0,7,2,0
0.0,1.0,0.0,0.0,0.0,49.357142857142854,42.07142857142857,118.21428571428571,22.428571428571427,15.642857142857142,8.0,12.857142857142858,1.0,2.0,7,2,0
0.0,1.0,0.0,0.0,0.0,91.2,69.8,209.8,10.6,32.2,8.0,17.8,1.0,2.0,7,2,0
0.0,1.0,0.0,0.0,0.0,58.7,65.0,155.3,13.3,14.3,8.0,16.2,1.0,2.0,7,2,0
0.0,1.0,0.0,0.0,0.0,30.7,64.0,111.2,29.2,13.0,8.0,12.2,1.0,2.0,7,2,0
0.0,1.0,0.0,0.0,0.0,55.857142857142854,87.28571428571429,172.85714285714286,17.142857142857142,17.285714285714285,8.0,17.285714285714285,1.0,2.0,7,2,0
0.0,1.0,0.0,0.0,0.0,25.555555555555557,60.22222222222222,99.44444444444444,23.77777777777778,12.444444444444445,8.0,14.11111111111111,1.0,2.0,7,2,0
0.0,1.0,0.0,0.0,0.0,32.785714285714285,69.5,119.85714285714286,40.642857142857146,18.214285714285715,8.0,15.357142857142858,1.0,2.0,7,2,1
0.0,1.0,0.0,0.0,0.0,37.72727272727273,80.0909090909091,137.8181818181818,30.636363636363637,16.363636363636363,8.0,14.090909090909092,1.0,2.0,7,2,0
0.0,1.0,0.0,0.0,0.0,46.38461538461539,88.84615384615384,160.23076923076923,23.846153846153847,20.615384615384617,8.0,13.846153846153847,1.0,2.0,7,2,0
0.0,1.0,0.0,0.0,0.0,40.142857142857146,85.0,146.71428571428572,9.571428571428571,22.857142857142858,8.0,15.285714285714286,1.0,2.0,7,2,0
0.0,1.0,0.0,0.0,0.0,23.571428571428573,72.28571428571429,108.28571428571429,14.285714285714286,19.571428571428573,8.0,15.714285714285714,1.0,2.0,7,2,0
0.0,1.0,0.0,0.0,0.0,36.25,82.125,137.875,27.75,28.625,8.0,12.75,1.0,2.0,7,2,0
0.0,1.0,0.0,0.0,0.0,53.69230769230769,61.76923076923077,143.69230769230768,24.153846153846153,50.23076923076923,8.0,13.153846153846153,1.0,2.0,7,2,0
